model,accuracy,precision,recall,f1
RandomForest,0.9763462710831132,0.5860621326616289,0.8869123252858958,0.7057633973710818
XGBoost,0.9840276366592156,0.964622641509434,0.5196950444726811,0.6754748142031379
LightGBM,0.9885795570006096,0.9407665505226481,0.6861499364675985,0.7935341660543718
